Time ,Total,Hydrophobic,Hydrophilic
129500,298.406,134.28,122.397
130200,292.734,128.775,119.336
130900,292.328,130.083,121.406
131600,282.282,123.116,117.441
132300,286.233,126.902,119.867
133000,281.251,125.888,117.926
133700,285.322,129.667,115.198
134400,285.951,128.875,118.529
135100,292.253,131.702,120.042
135800,286.64,126.772,119.49
136500,287.452,129.815,116.151
137200,285.615,128.523,117.562
137900,283.221,125.532,119.497
138600,278.68,121.944,117.089
139300,276.699,119.851,118.643
140000,292.513,127.883,121.638
140700,279.784,122.163,117.711
141400,283.269,125.242,117.616
142100,278.679,122.499,115.451
142800,278.526,122.232,113.965
143500,277.131,119.293,118.653
144200,280.179,121.143,117.513
144900,274.886,119.945,114.322
145600,274.489,120.335,114.465
146300,272.353,120.508,112.507
147000,276.536,124.042,112.972
147700,270.063,120.574,110.862
148400,271.856,119.614,115.414
149100,274.315,122.488,112.421
149800,273.429,121.48,115.17
150500,273.448,119.746,111.945
151200,273.19,120.209,114.869
151900,277.611,121.467,116.632
152600,276.224,121.323,115.094
153300,275.012,123.053,114.968
154000,273.158,119.641,116.823
154700,275.648,118.864,118.065
155400,272.88,118.041,113.902
156100,271.808,116.675,115.38
156800,270.582,116.373,114.052
157500,265.637,113.726,112.04
158200,272.428,115.042,114.119
158900,276.116,116.455,117.862
159600,276.461,115.962,116.765
160300,276.381,118.966,115.174
161000,277.82,121.097,116.6
161700,270.609,118.855,111.366
162400,271.603,117.797,114.668
163100,280.553,124.589,114.403
163800,280.983,124.433,117.943
164500,276.584,122.309,116.547
165200,282.017,125.094,116.163
165900,285.629,124.338,119.672
166600,281.675,126.502,116.393
167300,281.779,123.049,118.704
168000,278.805,122.803,117.686
168700,286.591,127.65,119.667
169400,281.763,120.227,118.283
170100,275.816,120.999,114.826
170800,278.782,124.374,115.399
171500,278.733,121.431,115.41
172200,284.572,122.052,120.284
172900,277.565,121.109,114.723
173600,279.482,121.622,118.398
174300,277.106,118.676,118.733
175000,282.371,123.549,118.207
175700,279.782,123.472,116.152
176400,277.459,124.413,112.731
177100,274.336,122.452,113.022
177800,280.217,126.554,114.741
178500,275.036,123.51,113.648
179200,283.033,127.257,113.794
179900,279.263,126.074,116.05
180600,279.738,124.423,113.463
181300,286.332,126.893,120.893
182000,284.956,127.513,116.412
182700,279.655,124.217,112.647
183400,281.557,124.579,115.428
184100,273.87,119.366,114.024
184800,280.808,121.325,117.228
185500,277.647,120.774,115.946
186200,283.029,121.563,121.187
186900,281.439,121.924,117.566
187600,277.429,121.921,115.355
188300,276.927,120.482,115.369
189000,278.259,120.228,118.79
189700,280.406,121.507,120.315
190400,276.718,120.387,118.671
191100,283.32,124.524,119.61
191800,280.126,125.628,117.386
192500,285.087,122.759,120.856
193200,272.637,119.631,114.434
193900,286.22,127.926,117.889
194600,284.022,126.394,118.63
195300,284.721,128.014,117.751
196000,282.215,127.637,116.524
196700,276.008,123.538,115.319
197400,280.108,122.479,118.168
198100,276.935,124.541,115.282
198800,285.345,125.846,119.761
199500,290.413,128.552,123.715
200200,292.6,126.411,125.844
200900,281.462,121.084,121.503
201600,272.709,119.773,115.303
202300,288.495,131.774,118.772
203000,287.497,125.802,122.131
203700,283.791,124.029,121.097
204400,282.107,122.188,122.106
205100,290.584,126.465,127.273
205800,283.253,124.199,122.235
206500,283.297,126.936,118.182
207200,280.195,124.818,119.499
207900,289.862,127.964,124.64
208600,287.483,127.3,123.021
209300,280.214,123.072,121.073
210000,280.248,121.327,122.561
210700,279.38,123.657,120.789
211400,278.586,119.416,121.036
212100,288.566,126.698,123.088
212800,284.128,123.863,121.852
213500,283.236,123.44,118.948
214200,282.998,122.111,122.973
214900,277.664,118.852,122.073
215600,279.384,120.779,124.114
216300,281.97,119.917,123.378
217000,291.742,127.601,128.047
217700,289.976,128.777,123.211
218400,286.363,124.946,124.589
219100,280.174,122.662,120.891
219800,289.93,126.557,124.506
220500,287.527,123.782,124.898
221200,286.783,125.872,121.873
221900,292.929,128.312,122.992
222600,289.93,129.435,122.856
223300,287.594,126.551,120.738
224000,289.822,129.919,121.445
224700,286.38,126.705,122.17
225400,287.212,126.33,122.528
226100,282.973,124.195,122.277
226800,276.741,122.067,117.196
227500,282.104,125.186,120.73
228200,287.331,127.748,120
228900,281.392,124.845,117.585
229600,280.379,126.687,120.115
230300,279.403,122.905,121.248
231000,285.154,125.531,125.522
231700,283.624,125.501,122.755
232400,283.344,123.797,124.818
233100,286.577,127.904,124.135
233800,280.922,125.55,119.313
234500,278.863,122.476,122.943
235200,276.637,121.644,120.319
235900,281.378,128.009,118.292
236600,279.267,123.05,117.838
237300,279.943,124.222,119.133
238000,290.866,128.601,125.626
238700,286.309,127.266,123.218
239400,282.22,126.599,121.748
240100,279.802,125.691,120.23
240800,280.889,125.615,119.735
241500,282.562,126.158,122.677
242200,276.367,125.4,118.063
242900,276.254,127.821,116.203
243600,274.751,124.691,119.666
244300,271.67,121.492,118.063
245000,271.309,118.187,122.648
245700,270.36,121.051,119.212
246400,267.358,121.832,116.992
247100,269.786,121.595,119.267
247800,266.819,117.925,117.099
248500,270.647,122.352,118.452
249200,273.508,120.253,123.2
249900,270.748,120.481,119.261
250600,269.388,119.252,120.064
251300,266.642,116.072,118.13
252000,259.523,119.788,112.981
252700,262.517,118.959,113.401
253400,260.948,117.291,116.33
254100,263.453,118.185,114.678
254800,265.462,119.467,116.206
255500,263.427,115.924,118.067
256200,271.731,119.36,122.333
256900,264.034,115.303,117.305
257600,268.383,116.355,122.207
258300,265.802,114.078,121.075
259000,261.584,113.602,116.355
259700,271.316,117.812,123.252
260400,263.997,114.649,117.672
261100,262.261,117.68,116.156
261800,259.326,114.903,113.643
262500,269.749,118.933,121.11
263200,256.369,113.644,114.219
263900,253.739,113.09,112.248
264600,253.62,113.136,114.395
265300,259.111,115.162,116.676
266000,254.625,110.933,116.366
266700,253.662,111.65,115.057
267400,261.411,114.662,118.062
268100,257.378,112.465,120.33
268800,252.426,113.217,114.367
269500,258.423,114.031,119.452
270200,261.293,114.869,121.342
270900,264.069,113.593,123.738
271600,254.908,112.851,116.729
272300,249.773,110.722,115.051
273000,252.691,110.425,115.949
273700,260.763,114.855,119.511
274400,261.458,113.438,119.238
275100,260.735,115.526,118.208
275800,268.699,121.913,119.148
276500,267.703,116.038,121.76
277200,261.535,116.076,116.298
277900,250.893,112.144,112.019
278600,258.642,114.184,118.554
279300,258.058,113.349,116.012
280000,262.435,115.891,117.816
280700,265.988,116.929,120.467
281400,265.809,115.387,121.287
282100,270.48,119.883,123.205
282800,269.543,119.719,122.33
283500,261.881,117.169,116.771
284200,261.455,113.501,117.633
284900,262.222,116.725,119.283
285600,268.538,117.914,123.099
286300,265.961,115.417,121.671
287000,263.748,114.325,121.393
287700,268.769,115.777,124.128
288400,257.962,111.706,120.638
289100,260.807,115.235,119.678
289800,262.438,118.417,120.584
290500,260.624,116.068,119.723
291200,264.81,118.508,122.654
291900,260.787,118.059,119.301
292600,260.766,115.599,119.095
293300,259.59,114.678,117.778
294000,253.773,112.387,116.757
294700,256.488,113.547,119.531
295400,260.139,113.488,119.639
296100,255.851,114.476,117.731
296800,261.457,113.078,122.515
297500,262.056,117.396,119.43
298200,255.999,114.918,115.773
298900,260.061,114.922,119.588
299600,263.166,116.155,120.361
300300,259.76,116.179,119.406
301000,261.789,117.075,121.854
301700,264.315,115.433,125.426
302400,262.107,115.113,123.744
303100,264.347,116.687,125.417
303800,264.621,115.257,123.851
304500,259.267,112.969,121.466
305200,264.662,116.244,121.881
305900,266.385,115.819,122.999
306600,273.391,118.482,127.331
307300,267.1,123.101,118.356
308000,274.484,122.676,124.301
308700,270.437,116.517,125.216
309400,267.732,114.208,123.625
310100,263.867,114.27,121.257
310800,262.4,116.497,117.536
311500,259.584,117.4,115.794
312200,260.272,115.724,117.131
312900,260.868,112.854,117.881
313600,259.652,115.181,115.427
314300,260.842,117.868,115.467
315000,263.161,120.895,115.408
315700,263.951,118.203,118.485
316400,258.427,116.282,114.515
317100,259.498,115.121,114.693
317800,269.049,115.655,124.172
318500,263.322,116.48,121.058
319200,264.506,115.481,120.738
319900,263.376,114.272,119.844
320600,250.941,113.611,112.904
321300,257.325,113.725,117.976
322000,259.336,112.593,122.039
322700,261.444,114.878,119.175
323400,268.266,119.9,119.535
324100,265.218,114.66,124.216
324800,258.896,114.722,117.547
325500,259.592,114.924,119.191
326200,258.89,115.145,116.849
326900,255.834,115.407,115.051
327600,256.476,111.158,119.572
328300,262.236,117.823,117.838
329000,264.825,119.227,119.47
329700,266.243,117.584,121.853
330400,261.501,118.548,118.386
331100,262.521,118.7,119.661
331800,262.736,115.777,121.586
332500,257.809,114.77,118.435
333200,253.302,114.42,115.224
333900,260.242,114.875,121.867
334600,262.934,116.673,121.762
335300,263.781,116.64,122.661
336000,264.712,121.926,118.145
336700,263.654,116.36,117.509
337400,260.216,115.83,117.871
338100,261.795,114.871,121.635
338800,261.354,114.949,119.353
339500,264.348,116.087,121.431
340200,265.915,118.005,118.391
340900,259.132,113.656,118.096
341600,267.502,118.252,122.103
342300,264.032,118.956,120.955
343000,258.09,114.921,118.163
343700,267.421,118.073,122.517
344400,265.663,120.455,119.048
345100,263.298,120.408,118.162
345800,256.141,118.04,113.613
346500,253.505,116.413,113.839
347200,263.699,117.22,121.059
347900,253.951,115.392,115.208
348600,255.765,117.35,115.124
349300,257.259,116.369,118.253
350000,253.389,114.086,116.871
350700,254.048,114.292,114.344
351400,253.812,114.526,117.06
352100,258.475,113.554,120.214
352800,254.288,117.271,115.322
353500,261.791,117.736,119.561
354200,266.69,121.703,122.354
354900,261.775,118.612,117.921
355600,260.404,118.088,118.789
356300,264.218,122.018,120.105
357000,268.141,123.647,121.803
357700,272.863,124.545,123.064
358400,269.952,123.73,121.54
359100,267.673,122.542,121.753
359800,268.091,121.84,121.722
360500,272.137,126.766,120.096
361200,265.765,120.476,118.472
361900,269.644,121.605,121.217
362600,266.79,121.105,120.363
363300,266.02,119.923,118.792
364000,270.012,120.947,122.629
364700,264.557,121.821,117.626
365400,268.369,121.15,121.397
366100,271.117,122.792,122.377
366800,265.756,121.954,117.859
367500,265.106,121.546,116.564
368200,269.879,122.43,119.763
368900,271.741,119.975,122.742
369600,270.726,122.778,120.428
370300,269.481,122.773,121.259
371000,265.438,119.398,119.425
371700,261.428,117.583,117.756
372400,273.078,121.526,123.46
373100,266.278,118.392,121.698
373800,270.88,120.127,122.977
374500,267.359,120.267,122.997
375200,267.188,120.372,120.81
375900,258.523,117.872,116.381
376600,254.976,113.928,117.84
377300,264.657,119.846,119.997
378000,266.332,120.868,119.773
378700,275.729,123.497,123.664
379400,263.894,119.8,119.504
380100,261.575,114.797,121.982
380800,265.276,118.606,121.407
381500,263.702,116.616,122.547
382200,265.48,118.476,122.31
382900,259.347,117.332,119.411
383600,264.325,120.486,121.478
384300,268.469,119.996,125.268
385000,260.063,118.778,121.616
385700,257.155,116.338,120.049
386400,258.29,116.14,120.926
387100,260.436,113.905,120.63
387800,258.773,115.616,120.305
388500,265.006,118.731,122.024
389200,265.076,119.928,120.463
389900,259.418,115.292,120.275
390600,265.028,119.119,121.531
391300,266.565,121.411,119.574
392000,264.193,120.065,122.972
392700,271.658,122.018,125.793
393400,269.114,121.871,123.623
394100,263.237,119.42,120.293
394800,272.181,122.797,124.97
395500,272.184,122.838,126.454
396200,274.665,127.877,125.045
396900,267.393,122.56,124.854
397600,274.07,127.931,124.958
398300,262.624,119.482,122.118
399000,263.201,119.776,122.56
399700,259.205,119.014,120.801
400400,266.144,120.807,124.434
401100,264.784,116.91,126.349
401800,266.113,120.253,125.076
402500,268.451,120.216,125.134
403200,254.679,115.819,117.97
403900,264.299,123.057,120.881
404600,265.284,120.124,122.526
405300,267.85,120.778,124.098
406000,268.393,119.053,126.72
406700,267.573,117.535,125.741
407400,269.637,121.241,125.415
408100,257.501,117.517,118.721
408800,266.323,121.489,120.539
409500,265.382,119.848,122.43
410200,261.036,120.232,119.798
410900,264.775,119.095,122.066
411600,258.799,117.865,121.457
412300,269.882,122.494,125.536
413000,262.178,120.238,121.309
413700,264.621,122.846,119.312
414400,261.088,117.762,121.41
415100,261.079,121.082,119.229
415800,268.469,120.087,126
416500,261.061,118.427,119.823
417200,266.086,124.195,120.47
417900,267.918,122.672,120.631
418600,261.291,120.777,117.26
419300,261.397,120.573,117.766
420000,261.111,119.219,116.88
420700,264.648,119.261,122.06
421400,259.856,117.298,118.157
422100,259.324,115.339,120.614
422800,261.274,118.435,119.868
423500,259.545,117.028,118.669
424200,261.661,117.662,120.851
424900,264.174,119.978,119.543
425600,257.539,118.548,116.797
426300,257.814,118.41,118.333
427000,256.723,115.683,119.09
427700,264.074,116.889,123.982
428400,266.487,121.096,124.714
429100,263.17,120.276,120.266
429800,266.72,123.077,120.566
430500,258.73,118.589,118.193
431200,257.337,118.495,117.374
431900,252.85,115.153,115.064
432600,249.883,115.575,114.2
433300,254.243,117.129,114.406
434000,252.129,116.819,114.249
434700,257.214,117.425,118.182
435400,252.57,116.131,115.985
436100,256.187,120.019,115.274
436800,249.823,115.112,112.569
437500,253.761,118.519,114.828
438200,255.969,116.787,116.872
438900,248.096,116.393,109.933
439600,251.822,116.229,114.049
440300,253.217,116.291,113.677
441000,264.039,121.652,117.861
441700,256.88,120.708,113.362
442400,254.359,121.608,111.272
443100,256.51,120.295,114.535
443800,256.089,119.78,113.504
444500,253.014,119.047,111.912
445200,257.555,121.741,114.098
445900,257.201,119.483,113.755
446600,258.464,117.561,117.182
447300,257.351,118.654,115.822
448000,254.875,119.111,111.967
448700,257.746,122.476,113.924
449400,265.476,125.67,116.281
450100,265.397,125.305,119.037
450800,270.827,127.797,118.456
451500,269.407,125.206,119.26
452200,268.158,125.366,117.569
452900,255.723,117.832,114.599
453600,262.645,117.76,117.796
454300,262.903,120.309,118.297
455000,265.26,118.04,120.907
455700,258.896,117.457,116.959
456400,256.926,118.018,112.515
457100,257.978,118.847,113.987
457800,244.655,111.953,109.669
458500,251.35,112.603,114.684
459200,257.413,114.851,116.357
459900,251.467,110.628,114.61
460600,255.233,114.177,115.767
461300,254.095,112.975,117.18
462000,259.365,115.047,119.094
462700,254.284,113.815,115.699
463400,255.386,112.949,116.163
464100,253.59,112.616,117.139
464800,263.658,115.746,120.296
465500,260.488,116.908,116.54
466200,262.054,117.461,117.213
466900,259.361,115.649,116.755
467600,256.225,115.012,117.474
468300,257.954,117.424,116.897
469000,261.319,117.131,117.102
469700,256.002,114.26,116.642
470400,254.274,113.849,114.123
471100,260.468,115.698,118.581
471800,256.077,115.647,116.904
472500,257.51,116.738,116.318
473200,251.235,114.882,113.283
473900,255.39,114.38,117.656
474600,246.963,110.385,112.564
475300,248.869,112.08,115.123
476000,255.448,114.141,117.33
476700,255.062,115.777,113.953
477400,245.946,112.994,108.703
478100,246.928,110.382,110.296
478800,248.241,109.894,112.63
479500,251.577,114.224,113.622
480200,250.367,113.006,111.296
480900,245.011,108.153,109.915
481600,247.62,109.351,112.882
